"id","make","model","year","color","engine_type","transmission","fuel_type","mileage","price","owner_name","registration_number","insurance_valid_till","service_due_date","number_of_doors","seating_capacity","gps_enabled","bluetooth_enabled","sunroof","air_conditioning"
43,"Make_43","Model_43",1998,"White","Engine_1","Manual","Diesel",301,"10204.25","Owner_43","MH43XYZ","2025-10-02","2025-12-31",3,5,False,False,False,False
44,"Make_44","Model_44",1999,"Silver","Engine_2","Automatic","Electric",308,"10209.00","Owner_44","MH44XYZ","2025-10-03","2026-01-01",4,6,True,False,True,False
45,"Make_45","Model_45",2000,"Red","Engine_3","Manual","Petrol",315,"10213.75","Owner_45","MH45XYZ","2025-10-04","2026-01-02",2,4,False,True,False,True
46,"Make_46","Model_46",2001,"Blue","Engine_4","Automatic","Diesel",322,"10218.50","Owner_46","MH46XYZ","2025-10-05","2026-01-03",3,5,True,False,False,False
47,"Make_47","Model_47",2002,"Black","Engine_5","Manual","Electric",329,"10223.25","Owner_47","MH47XYZ","2025-10-06","2026-01-04",4,6,False,False,False,False
48,"Make_48","Model_48",2003,"White","Engine_0","Automatic","Petrol",336,"10228.00","Owner_48","MH48XYZ","2025-10-07","2026-01-05",2,4,True,True,True,False
49,"Make_49","Model_49",2004,"Silver","Engine_1","Manual","Diesel",343,"10232.75","Owner_49","MH49XYZ","2025-10-08","2026-01-06",3,5,False,False,False,False
50,"Make_50","Model_50",2005,"Red","Engine_2","Automatic","Electric",350,"10237.50","Owner_50","MH50XYZ","2025-10-09","2026-01-07",4,6,True,False,False,True
51,"Make_51","Model_51",2006,"Blue","Engine_3","Manual","Petrol",357,"10242.25","Owner_51","MH51XYZ","2025-10-10","2026-01-08",2,4,False,True,False,False
52,"Make_52","Model_52",2007,"Black","Engine_4","Automatic","Diesel",364,"10247.00","Owner_52","MH52XYZ","2025-10-11","2026-01-09",3,5,True,False,True,False
53,"Make_53","Model_53",2008,"White","Engine_5","Manual","Electric",371,"10251.75","Owner_53","MH53XYZ","2025-10-12","2026-01-10",4,6,False,False,False,False
54,"Make_54","Model_54",2009,"Silver","Engine_0","Automatic","Petrol",378,"10256.50","Owner_54","MH54XYZ","2025-10-13","2026-01-11",2,4,True,True,False,False
55,"Make_55","Model_55",2010,"Red","Engine_1","Manual","Diesel",385,"10261.25","Owner_55","MH55XYZ","2025-10-14","2026-01-12",3,5,False,False,False,True
56,"Make_56","Model_56",2011,"Blue","Engine_2","Automatic","Electric",392,"10266.00","Owner_56","MH56XYZ","2025-10-15","2026-01-13",4,6,True,False,True,False
57,"Make_57","Model_57",2012,"Black","Engine_3","Manual","Petrol",399,"10270.75","Owner_57","MH57XYZ","2025-10-16","2026-01-14",2,4,False,True,False,False
58,"Make_58","Model_58",2013,"White","Engine_4","Automatic","Diesel",406,"10275.50","Owner_58","MH58XYZ","2025-10-17","2026-01-15",3,5,True,False,False,False
59,"Make_59","Model_59",2014,"Silver","Engine_5","Manual","Electric",413,"10280.25","Owner_59","MH59XYZ","2025-10-18","2026-01-16",4,6,False,False,False,False
60,"Make_60","Model_60",2015,"Red","Engine_0","Automatic","Petrol",420,"10285.00","Owner_60","MH60XYZ","2025-10-19","2026-01-17",2,4,True,True,True,True
61,"Make_61","Model_61",2016,"Blue","Engine_1","Manual","Diesel",427,"10289.75","Owner_61","MH61XYZ","2025-10-20","2026-01-18",3,5,False,False,False,False
62,"Make_62","Model_62",2017,"Black","Engine_2","Automatic","Electric",434,"10294.50","Owner_62","MH62XYZ","2025-10-21","2026-01-19",4,6,True,False,False,False
63,"Make_63","Model_63",2018,"White","Engine_3","Manual","Petrol",441,"10299.25","Owner_63","MH63XYZ","2025-10-22","2026-01-20",2,4,False,True,False,False
64,"Make_64","Model_64",2019,"Silver","Engine_4","Automatic","Diesel",448,"10304.00","Owner_64","MH64XYZ","2025-10-23","2026-01-21",3,5,True,False,True,False
65,"Make_65","Model_65",2020,"Red","Engine_5","Manual","Electric",455,"10308.75","Owner_65","MH65XYZ","2025-10-24","2026-01-22",4,6,False,False,False,True
66,"Make_66","Model_66",2021,"Blue","Engine_0","Automatic","Petrol",462,"10313.50","Owner_66","MH66XYZ","2025-10-25","2026-01-23",2,4,True,True,False,False
67,"Make_67","Model_67",2022,"Black","Engine_1","Manual","Diesel",469,"10318.25","Owner_67","MH67XYZ","2025-10-26","2026-01-24",3,5,False,False,False,False
68,"Make_68","Model_68",2023,"White","Engine_2","Automatic","Electric",476,"10323.00","Owner_68","MH68XYZ","2025-10-27","2026-01-25",4,6,True,False,True,False
69,"Make_69","Model_69",2024,"Silver","Engine_3","Manual","Petrol",483,"10327.75","Owner_69","MH69XYZ","2025-10-28","2026-01-26",2,4,False,True,False,False
70,"Make_70","Model_70",1990,"Red","Engine_4","Automatic","Diesel",490,"10332.50","Owner_70","MH70XYZ","2025-10-29","2026-01-27",3,5,True,False,False,True
71,"Make_71","Model_71",1991,"Blue","Engine_5","Manual","Electric",497,"10337.25","Owner_71","MH71XYZ","2025-10-30","2026-01-28",4,6,False,False,False,False
72,"Make_72","Model_72",1992,"Black","Engine_0","Automatic","Petrol",504,"10342.00","Owner_72","MH72XYZ","2025-10-31","2026-01-29",2,4,True,True,True,False
73,"Make_73","Model_73",1993,"White","Engine_1","Manual","Diesel",511,"10346.75","Owner_73","MH73XYZ","2025-11-01","2026-01-30",3,5,False,False,False,False
74,"Make_74","Model_74",1994,"Silver","Engine_2","Automatic","Electric",518,"10351.50","Owner_74","MH74XYZ","2025-11-02","2026-01-31",4,6,True,False,False,False
75,"Make_75","Model_75",1995,"Red","Engine_3","Manual","Petrol",525,"10356.25","Owner_75","MH75XYZ","2025-11-03","2026-02-01",2,4,False,True,False,True
76,"Make_76","Model_76",1996,"Blue","Engine_4","Automatic","Diesel",532,"10361.00","Owner_76","MH76XYZ","2025-11-04","2026-02-02",3,5,True,False,True,False
77,"Make_77","Model_77",1997,"Black","Engine_5","Manual","Electric",539,"10365.75","Owner_77","MH77XYZ","2025-11-05","2026-02-03",4,6,False,False,False,False
78,"Make_78","Model_78",1998,"White","Engine_0","Automatic","Petrol",546,"10370.50","Owner_78","MH78XYZ","2025-11-06","2026-02-04",2,4,True,True,False,False
79,"Make_79","Model_79",1999,"Silver","Engine_1","Manual","Diesel",553,"10375.25","Owner_79","MH79XYZ","2025-11-07","2026-02-05",3,5,False,False,False,False
80,"Make_80","Model_80",2000,"Red","Engine_2","Automatic","Electric",560,"10380.00","Owner_80","MH80XYZ","2025-11-08","2026-02-06",4,6,True,False,True,True
81,"Make_81","Model_81",2001,"Blue","Engine_3","Manual","Petrol",567,"10384.75","Owner_81","MH81XYZ","2025-11-09","2026-02-07",2,4,False,True,False,False
82,"Make_82","Model_82",2002,"Black","Engine_4","Automatic","Diesel",574,"10389.50","Owner_82","MH82XYZ","2025-11-10","2026-02-08",3,5,True,False,False,False
83,"Make_83","Model_83",2003,"White","Engine_5","Manual","Electric",581,"10394.25","Owner_83","MH83XYZ","2025-11-11","2026-02-09",4,6,False,False,False,False
84,"Make_84","Model_84",2004,"Silver","Engine_0","Automatic","Petrol",588,"10399.00","Owner_84","MH84XYZ","2025-11-12","2026-02-10",2,4,True,True,True,False
85,"Make_85","Model_85",2005,"Red","Engine_1","Manual","Diesel",595,"10403.75","Owner_85","MH85XYZ","2025-11-13","2026-02-11",3,5,False,False,False,True
86,"Make_86","Model_86",2006,"Blue","Engine_2","Automatic","Electric",602,"10408.50","Owner_86","MH86XYZ","2025-11-14","2026-02-12",4,6,True,False,False,False
87,"Make_87","Model_87",2007,"Black","Engine_3","Manual","Petrol",609,"10413.25","Owner_87","MH87XYZ","2025-11-15","2026-02-13",2,4,False,True,False,False
88,"Make_88","Model_88",2008,"White","Engine_4","Automatic","Diesel",616,"10418.00","Owner_88","MH88XYZ","2025-11-16","2026-02-14",3,5,True,False,True,False
89,"Make_89","Model_89",2009,"Silver","Engine_5","Manual","Electric",623,"10422.75","Owner_89","MH89XYZ","2025-11-17","2026-02-15",4,6,False,False,False,False
90,"Make_90","Model_90",2010,"Red","Engine_0","Automatic","Petrol",630,"10427.50","Owner_90","MH90XYZ","2025-11-18","2026-02-16",2,4,True,True,False,True
91,"Make_91","Model_91",2011,"Blue","Engine_1","Manual","Diesel",637,"10432.25","Owner_91","MH91XYZ","2025-11-19","2026-02-17",3,5,False,False,False,False
92,"Make_92","Model_92",2012,"Black","Engine_2","Automatic","Electric",644,"10437.00","Owner_92","MH92XYZ","2025-11-20","2026-02-18",4,6,True,False,True,False
93,"Make_93","Model_93",2013,"White","Engine_3","Manual","Petrol",651,"10441.75","Owner_93","MH93XYZ","2025-11-21","2026-02-19",2,4,False,True,False,False
94,"Make_94","Model_94",2014,"Silver","Engine_4","Automatic","Diesel",658,"10446.50","Owner_94","MH94XYZ","2025-11-22","2026-02-20",3,5,True,False,False,False
95,"Make_95","Model_95",2015,"Red","Engine_5","Manual","Electric",665,"10451.25","Owner_95","MH95XYZ","2025-11-23","2026-02-21",4,6,False,False,False,True
96,"Make_96","Model_96",2016,"Blue","Engine_0","Automatic","Petrol",672,"10456.00","Owner_96","MH96XYZ","2025-11-24","2026-02-22",2,4,True,True,True,False
97,"Make_97","Model_97",2017,"Black","Engine_1","Manual","Diesel",679,"10460.75","Owner_97","MH97XYZ","2025-11-25","2026-02-23",3,5,False,False,False,False
98,"Make_98","Model_98",2018,"White","Engine_2","Automatic","Electric",686,"10465.50","Owner_98","MH98XYZ","2025-11-26","2026-02-24",4,6,True,False,False,False
99,"Make_99","Model_99",2019,"Silver","Engine_3","Manual","Petrol",693,"10470.25","Owner_99","MH99XYZ","2025-11-27","2026-02-25",2,4,False,True,False,False
100,"Make_100","Model_100",2020,"Red","Engine_4","Automatic","Diesel",700,"10475.00","Owner_100","MH100XYZ","2025-11-28","2026-02-26",3,5,True,False,True,True
101,"Make_101","Model_101",2021,"Blue","Engine_5","Manual","Electric",707,"10479.75","Owner_101","MH101XYZ","2025-11-29","2026-02-27",4,6,False,False,False,False
102,"Make_102","Model_102",2022,"Black","Engine_0","Automatic","Petrol",714,"10484.50","Owner_102","MH102XYZ","2025-11-30","2026-02-28",2,4,True,True,False,False
103,"Make_103","Model_103",2023,"White","Engine_1","Manual","Diesel",721,"10489.25","Owner_103","MH103XYZ","2025-12-01","2026-03-01",3,5,False,False,False,False
104,"Make_104","Model_104",2024,"Silver","Engine_2","Automatic","Electric",728,"10494.00","Owner_104","MH104XYZ","2025-12-02","2026-03-02",4,6,True,False,True,False
105,"Make_105","Model_105",1990,"Red","Engine_3","Manual","Petrol",735,"10498.75","Owner_105","MH105XYZ","2025-12-03","2026-03-03",2,4,False,True,False,True
106,"Make_106","Model_106",1991,"Blue","Engine_4","Automatic","Diesel",742,"10503.50","Owner_106","MH106XYZ","2025-12-04","2026-03-04",3,5,True,False,False,False
107,"Make_107","Model_107",1992,"Black","Engine_5","Manual","Electric",749,"10508.25","Owner_107","MH107XYZ","2025-12-05","2026-03-05",4,6,False,False,False,False
108,"Make_108","Model_108",1993,"White","Engine_0","Automatic","Petrol",756,"10513.00","Owner_108","MH108XYZ","2025-12-06","2026-03-06",2,4,True,True,True,False
109,"Make_109","Model_109",1994,"Silver","Engine_1","Manual","Diesel",763,"10517.75","Owner_109","MH109XYZ","2025-12-07","2026-03-07",3,5,False,False,False,False
110,"Make_110","Model_110",1995,"Red","Engine_2","Automatic","Electric",770,"10522.50","Owner_110","MH110XYZ","2025-12-08","2026-03-08",4,6,True,False,False,True
111,"Make_111","Model_111",1996,"Blue","Engine_3","Manual","Petrol",777,"10527.25","Owner_111","MH111XYZ","2025-12-09","2026-03-09",2,4,False,True,False,False
112,"Make_112","Model_112",1997,"Black","Engine_4","Automatic","Diesel",784,"10532.00","Owner_112","MH112XYZ","2025-12-10","2026-03-10",3,5,True,False,True,False
113,"Make_113","Model_113",1998,"White","Engine_5","Manual","Electric",791,"10536.75","Owner_113","MH113XYZ","2025-12-11","2026-03-11",4,6,False,False,False,False
114,"Make_114","Model_114",1999,"Silver","Engine_0","Automatic","Petrol",798,"10541.50","Owner_114","MH114XYZ","2025-12-12","2026-03-12",2,4,True,True,False,False
115,"Make_115","Model_115",2000,"Red","Engine_1","Manual","Diesel",805,"10546.25","Owner_115","MH115XYZ","2025-12-13","2026-03-13",3,5,False,False,False,True
116,"Make_116","Model_116",2001,"Blue","Engine_2","Automatic","Electric",812,"10551.00","Owner_116","MH116XYZ","2025-12-14","2026-03-14",4,6,True,False,True,False
117,"Make_117","Model_117",2002,"Black","Engine_3","Manual","Petrol",819,"10555.75","Owner_117","MH117XYZ","2025-12-15","2026-03-15",2,4,False,True,False,False
118,"Make_118","Model_118",2003,"White","Engine_4","Automatic","Diesel",826,"10560.50","Owner_118","MH118XYZ","2025-12-16","2026-03-16",3,5,True,False,False,False
119,"Make_119","Model_119",2004,"Silver","Engine_5","Manual","Electric",833,"10565.25","Owner_119","MH119XYZ","2025-12-17","2026-03-17",4,6,False,False,False,False
120,"Make_120","Model_120",2005,"Red","Engine_0","Automatic","Petrol",840,"10570.00","Owner_120","MH120XYZ","2025-12-18","2026-03-18",2,4,True,True,True,True
121,"Make_121","Model_121",2006,"Blue","Engine_1","Manual","Diesel",847,"10574.75","Owner_121","MH121XYZ","2025-12-19","2026-03-19",3,5,False,False,False,False
122,"Make_122","Model_122",2007,"Black","Engine_2","Automatic","Electric",854,"10579.50","Owner_122","MH122XYZ","2025-12-20","2026-03-20",4,6,True,False,False,False
123,"Make_123","Model_123",2008,"White","Engine_3","Manual","Petrol",861,"10584.25","Owner_123","MH123XYZ","2025-12-21","2026-03-21",2,4,False,True,False,False
124,"Make_124","Model_124",2009,"Silver","Engine_4","Automatic","Diesel",868,"10589.00","Owner_124","MH124XYZ","2025-12-22","2026-03-22",3,5,True,False,True,False
125,"Make_125","Model_125",2010,"Red","Engine_5","Manual","Electric",875,"10593.75","Owner_125","MH125XYZ","2025-12-23","2026-03-23",4,6,False,False,False,True
126,"Make_126","Model_126",2011,"Blue","Engine_0","Automatic","Petrol",882,"10598.50","Owner_126","MH126XYZ","2025-12-24","2026-03-24",2,4,True,True,False,False
127,"Make_127","Model_127",2012,"Black","Engine_1","Manual","Diesel",889,"10603.25","Owner_127","MH127XYZ","2025-12-25","2026-03-25",3,5,False,False,False,False
128,"Make_128","Model_128",2013,"White","Engine_2","Automatic","Electric",896,"10608.00","Owner_128","MH128XYZ","2025-12-26","2026-03-26",4,6,True,False,True,False
129,"Make_129","Model_129",2014,"Silver","Engine_3","Manual","Petrol",903,"10612.75","Owner_129","MH129XYZ","2025-12-27","2026-03-27",2,4,False,True,False,False
130,"Make_130","Model_130",2015,"Red","Engine_4","Automatic","Diesel",910,"10617.50","Owner_130","MH130XYZ","2025-12-28","2026-03-28",3,5,True,False,False,True
131,"Make_131","Model_131",2016,"Blue","Engine_5","Manual","Electric",917,"10622.25","Owner_131","MH131XYZ","2025-12-29","2026-03-29",4,6,False,False,False,False
132,"Make_132","Model_132",2017,"Black","Engine_0","Automatic","Petrol",924,"10627.00","Owner_132","MH132XYZ","2025-12-30","2026-03-30",2,4,True,True,True,False
133,"Make_133","Model_133",2018,"White","Engine_1","Manual","Diesel",931,"10631.75","Owner_133","MH133XYZ","2025-12-31","2026-03-31",3,5,False,False,False,False
134,"Make_134","Model_134",2019,"Silver","Engine_2","Automatic","Electric",938,"10636.50","Owner_134","MH134XYZ","2026-01-01","2026-04-01",4,6,True,False,False,False
135,"Make_135","Model_135",2020,"Red","Engine_3","Manual","Petrol",945,"10641.25","Owner_135","MH135XYZ","2026-01-02","2026-04-02",2,4,False,True,False,True
136,"Make_136","Model_136",2021,"Blue","Engine_4","Automatic","Diesel",952,"10646.00","Owner_136","MH136XYZ","2026-01-03","2026-04-03",3,5,True,False,True,False
137,"Make_137","Model_137",2022,"Black","Engine_5","Manual","Electric",959,"10650.75","Owner_137","MH137XYZ","2026-01-04","2026-04-04",4,6,False,False,False,False
138,"Make_138","Model_138",2023,"White","Engine_0","Automatic","Petrol",966,"10655.50","Owner_138","MH138XYZ","2026-01-05","2026-04-05",2,4,True,True,False,False
139,"Make_139","Model_139",2024,"Silver","Engine_1","Manual","Diesel",973,"10660.25","Owner_139","MH139XYZ","2026-01-06","2026-04-06",3,5,False,False,False,False
140,"Make_140","Model_140",1990,"Red","Engine_2","Automatic","Electric",980,"10665.00","Owner_140","MH140XYZ","2026-01-07","2026-04-07",4,6,True,False,True,True
141,"Make_141","Model_141",1991,"Blue","Engine_3","Manual","Petrol",987,"10669.75","Owner_141","MH141XYZ","2026-01-08","2026-04-08",2,4,False,True,False,False
142,"Make_142","Model_142",1992,"Black","Engine_4","Automatic","Diesel",994,"10674.50","Owner_142","MH142XYZ","2026-01-09","2026-04-09",3,5,True,False,False,False
143,"Make_143","Model_143",1993,"White","Engine_5","Manual","Electric",1001,"10679.25","Owner_143","MH143XYZ","2026-01-10","2026-04-10",4,6,False,False,False,False
144,"Make_144","Model_144",1994,"Silver","Engine_0","Automatic","Petrol",1008,"10684.00","Owner_144","MH144XYZ","2026-01-11","2026-04-11",2,4,True,True,True,False
145,"Make_145","Model_145",1995,"Red","Engine_1","Manual","Diesel",1015,"10688.75","Owner_145","MH145XYZ","2026-01-12","2026-04-12",3,5,False,False,False,True
146,"Make_146","Model_146",1996,"Blue","Engine_2","Automatic","Electric",1022,"10693.50","Owner_146","MH146XYZ","2026-01-13","2026-04-13",4,6,True,False,False,False
147,"Make_147","Model_147",1997,"Black","Engine_3","Manual","Petrol",1029,"10698.25","Owner_147","MH147XYZ","2026-01-14","2026-04-14",2,4,False,True,False,False
148,"Make_148","Model_148",1998,"White","Engine_4","Automatic","Diesel",1036,"10703.00","Owner_148","MH148XYZ","2026-01-15","2026-04-15",3,5,True,False,True,False
149,"Make_149","Model_149",1999,"Silver","Engine_5","Manual","Electric",1043,"10707.75","Owner_149","MH149XYZ","2026-01-16","2026-04-16",4,6,False,False,False,False
150,"Make_150","Model_150",2000,"Red","Engine_0","Automatic","Petrol",1050,"10712.50","Owner_150","MH150XYZ","2026-01-17","2026-04-17",2,4,True,True,False,True
151,"Make_151","Model_151",2001,"Blue","Engine_1","Manual","Diesel",1057,"10717.25","Owner_151","MH151XYZ","2026-01-18","2026-04-18",3,5,False,False,False,False
152,"Make_152","Model_152",2002,"Black","Engine_2","Automatic","Electric",1064,"10722.00","Owner_152","MH152XYZ","2026-01-19","2026-04-19",4,6,True,False,True,False
153,"Make_153","Model_153",2003,"White","Engine_3","Manual","Petrol",1071,"10726.75","Owner_153","MH153XYZ","2026-01-20","2026-04-20",2,4,False,True,False,False
154,"Make_154","Model_154",2004,"Silver","Engine_4","Automatic","Diesel",1078,"10731.50","Owner_154","MH154XYZ","2026-01-21","2026-04-21",3,5,True,False,False,False
155,"Make_155","Model_155",2005,"Red","Engine_5","Manual","Electric",1085,"10736.25","Owner_155","MH155XYZ","2026-01-22","2026-04-22",4,6,False,False,False,True
156,"Make_156","Model_156",2006,"Blue","Engine_0","Automatic","Petrol",1092,"10741.00","Owner_156","MH156XYZ","2026-01-23","2026-04-23",2,4,True,True,True,False
157,"Make_157","Model_157",2007,"Black","Engine_1","Manual","Diesel",1099,"10745.75","Owner_157","MH157XYZ","2026-01-24","2026-04-24",3,5,False,False,False,False
158,"Make_158","Model_158",2008,"White","Engine_2","Automatic","Electric",1106,"10750.50","Owner_158","MH158XYZ","2026-01-25","2026-04-25",4,6,True,False,False,False
159,"Make_159","Model_159",2009,"Silver","Engine_3","Manual","Petrol",1113,"10755.25","Owner_159","MH159XYZ","2026-01-26","2026-04-26",2,4,False,True,False,False
160,"Make_160","Model_160",2010,"Red","Engine_4","Automatic","Diesel",1120,"10760.00","Owner_160","MH160XYZ","2026-01-27","2026-04-27",3,5,True,False,True,True
161,"Make_161","Model_161",2011,"Blue","Engine_5","Manual","Electric",1127,"10764.75","Owner_161","MH161XYZ","2026-01-28","2026-04-28",4,6,False,False,False,False
162,"Make_162","Model_162",2012,"Black","Engine_0","Automatic","Petrol",1134,"10769.50","Owner_162","MH162XYZ","2026-01-29","2026-04-29",2,4,True,True,False,False
163,"Make_163","Model_163",2013,"White","Engine_1","Manual","Diesel",1141,"10774.25","Owner_163","MH163XYZ","2026-01-30","2026-04-30",3,5,False,False,False,False
164,"Make_164","Model_164",2014,"Silver","Engine_2","Automatic","Electric",1148,"10779.00","Owner_164","MH164XYZ","2026-01-31","2026-05-01",4,6,True,False,True,False
165,"Make_165","Model_165",2015,"Red","Engine_3","Manual","Petrol",1155,"10783.75","Owner_165","MH165XYZ","2026-02-01","2026-05-02",2,4,False,True,False,True
