"id","make","model","year","color","engine_type","transmission","fuel_type","mileage","price","owner_name","registration_number","insurance_valid_till","service_due_date","number_of_doors","seating_capacity","gps_enabled","bluetooth_enabled","sunroof","air_conditioning"
32,"Make_32","Model_32",2007,"Black","V0 Engine","Automatic","Electric",320,"15176.00","Owner_32","REG32","2025-09-21","2025-10-21",4,6,True,False,True,False
33,"Make_33","Model_33",2008,"White","V1 Engine","Manual","Petrol",330,"15181.50","Owner_33","REG33","2025-09-22","2025-10-22",2,4,False,True,False,False
34,"Make_34","Model_34",2009,"Silver","V2 Engine","Automatic","Diesel",340,"15187.00","Owner_34","REG34","2025-09-23","2025-10-23",3,5,True,False,False,False
35,"Make_35","Model_35",2010,"Red","V3 Engine","Manual","Electric",350,"15192.50","Owner_35","REG35","2025-09-24","2025-10-24",4,6,False,False,False,True
36,"Make_36","Model_36",2011,"Blue","V4 Engine","Automatic","Petrol",360,"15198.00","Owner_36","REG36","2025-09-25","2025-10-25",2,4,True,True,True,False
37,"Make_37","Model_37",2012,"Black","V5 Engine","Manual","Diesel",370,"15203.50","Owner_37","REG37","2025-09-26","2025-10-26",3,5,False,False,False,False
38,"Make_38","Model_38",2013,"White","V6 Engine","Automatic","Electric",380,"15209.00","Owner_38","REG38","2025-09-27","2025-10-27",4,6,True,False,False,False
39,"Make_39","Model_39",2014,"Silver","V7 Engine","Manual","Petrol",390,"15214.50","Owner_39","REG39","2025-09-28","2025-10-28",2,4,False,True,False,False
40,"Make_40","Model_40",2015,"Red","V0 Engine","Automatic","Diesel",400,"15220.00","Owner_40","REG40","2025-09-29","2025-10-29",3,5,True,False,True,True
41,"Make_41","Model_41",2016,"Blue","V1 Engine","Manual","Electric",410,"15225.50","Owner_41","REG41","2025-09-30","2025-10-30",4,6,False,False,False,False
42,"Make_42","Model_42",2017,"Black","V2 Engine","Automatic","Petrol",420,"15231.00","Owner_42","REG42","2025-10-01","2025-10-31",2,4,True,True,False,False
43,"Make_43","Model_43",2018,"White","V3 Engine","Manual","Diesel",430,"15236.50","Owner_43","REG43","2025-10-02","2025-11-01",3,5,False,False,False,False
44,"Make_44","Model_44",2019,"Silver","V4 Engine","Automatic","Electric",440,"15242.00","Owner_44","REG44","2025-10-03","2025-11-02",4,6,True,False,True,False
45,"Make_45","Model_45",2020,"Red","V5 Engine","Manual","Petrol",450,"15247.50","Owner_45","REG45","2025-10-04","2025-11-03",2,4,False,True,False,True
46,"Make_46","Model_46",2021,"Blue","V6 Engine","Automatic","Diesel",460,"15253.00","Owner_46","REG46","2025-10-05","2025-11-04",3,5,True,False,False,False
47,"Make_47","Model_47",2022,"Black","V7 Engine","Manual","Electric",470,"15258.50","Owner_47","REG47","2025-10-06","2025-11-05",4,6,False,False,False,False
48,"Make_48","Model_48",2023,"White","V0 Engine","Automatic","Petrol",480,"15264.00","Owner_48","REG48","2025-10-07","2025-11-06",2,4,True,True,True,False
49,"Make_49","Model_49",2024,"Silver","V1 Engine","Manual","Diesel",490,"15269.50","Owner_49","REG49","2025-10-08","2025-11-07",3,5,False,False,False,False
50,"Make_50","Model_50",2000,"Red","V2 Engine","Automatic","Electric",500,"15275.00","Owner_50","REG50","2025-10-09","2025-11-08",4,6,True,False,False,True
51,"Make_51","Model_51",2001,"Blue","V3 Engine","Manual","Petrol",510,"15280.50","Owner_51","REG51","2025-10-10","2025-11-09",2,4,False,True,False,False
52,"Make_52","Model_52",2002,"Black","V4 Engine","Automatic","Diesel",520,"15286.00","Owner_52","REG52","2025-10-11","2025-11-10",3,5,True,False,True,False
53,"Make_53","Model_53",2003,"White","V5 Engine","Manual","Electric",530,"15291.50","Owner_53","REG53","2025-10-12","2025-11-11",4,6,False,False,False,False
54,"Make_54","Model_54",2004,"Silver","V6 Engine","Automatic","Petrol",540,"15297.00","Owner_54","REG54","2025-10-13","2025-11-12",2,4,True,True,False,False
55,"Make_55","Model_55",2005,"Red","V7 Engine","Manual","Diesel",550,"15302.50","Owner_55","REG55","2025-10-14","2025-11-13",3,5,False,False,False,True
56,"Make_56","Model_56",2006,"Blue","V0 Engine","Automatic","Electric",560,"15308.00","Owner_56","REG56","2025-10-15","2025-11-14",4,6,True,False,True,False
57,"Make_57","Model_57",2007,"Black","V1 Engine","Manual","Petrol",570,"15313.50","Owner_57","REG57","2025-10-16","2025-11-15",2,4,False,True,False,False
58,"Make_58","Model_58",2008,"White","V2 Engine","Automatic","Diesel",580,"15319.00","Owner_58","REG58","2025-10-17","2025-11-16",3,5,True,False,False,False
59,"Make_59","Model_59",2009,"Silver","V3 Engine","Manual","Electric",590,"15324.50","Owner_59","REG59","2025-10-18","2025-11-17",4,6,False,False,False,False
60,"Make_60","Model_60",2010,"Red","V4 Engine","Automatic","Petrol",600,"15330.00","Owner_60","REG60","2025-10-19","2025-11-18",2,4,True,True,True,True
61,"Make_61","Model_61",2011,"Blue","V5 Engine","Manual","Diesel",610,"15335.50","Owner_61","REG61","2025-10-20","2025-11-19",3,5,False,False,False,False
62,"Make_62","Model_62",2012,"Black","V6 Engine","Automatic","Electric",620,"15341.00","Owner_62","REG62","2025-10-21","2025-11-20",4,6,True,False,False,False
63,"Make_63","Model_63",2013,"White","V7 Engine","Manual","Petrol",630,"15346.50","Owner_63","REG63","2025-10-22","2025-11-21",2,4,False,True,False,False
64,"Make_64","Model_64",2014,"Silver","V0 Engine","Automatic","Diesel",640,"15352.00","Owner_64","REG64","2025-10-23","2025-11-22",3,5,True,False,True,False
65,"Make_65","Model_65",2015,"Red","V1 Engine","Manual","Electric",650,"15357.50","Owner_65","REG65","2025-10-24","2025-11-23",4,6,False,False,False,True
66,"Make_66","Model_66",2016,"Blue","V2 Engine","Automatic","Petrol",660,"15363.00","Owner_66","REG66","2025-10-25","2025-11-24",2,4,True,True,False,False
67,"Make_67","Model_67",2017,"Black","V3 Engine","Manual","Diesel",670,"15368.50","Owner_67","REG67","2025-10-26","2025-11-25",3,5,False,False,False,False
68,"Make_68","Model_68",2018,"White","V4 Engine","Automatic","Electric",680,"15374.00","Owner_68","REG68","2025-10-27","2025-11-26",4,6,True,False,True,False
69,"Make_69","Model_69",2019,"Silver","V5 Engine","Manual","Petrol",690,"15379.50","Owner_69","REG69","2025-10-28","2025-11-27",2,4,False,True,False,False
70,"Make_70","Model_70",2020,"Red","V6 Engine","Automatic","Diesel",700,"15385.00","Owner_70","REG70","2025-10-29","2025-11-28",3,5,True,False,False,True
71,"Make_71","Model_71",2021,"Blue","V7 Engine","Manual","Electric",710,"15390.50","Owner_71","REG71","2025-10-30","2025-11-29",4,6,False,False,False,False
72,"Make_72","Model_72",2022,"Black","V0 Engine","Automatic","Petrol",720,"15396.00","Owner_72","REG72","2025-10-31","2025-11-30",2,4,True,True,True,False
73,"Make_73","Model_73",2023,"White","V1 Engine","Manual","Diesel",730,"15401.50","Owner_73","REG73","2025-11-01","2025-12-01",3,5,False,False,False,False
74,"Make_74","Model_74",2024,"Silver","V2 Engine","Automatic","Electric",740,"15407.00","Owner_74","REG74","2025-11-02","2025-12-02",4,6,True,False,False,False
75,"Make_75","Model_75",2000,"Red","V3 Engine","Manual","Petrol",750,"15412.50","Owner_75","REG75","2025-11-03","2025-12-03",2,4,False,True,False,True
76,"Make_76","Model_76",2001,"Blue","V4 Engine","Automatic","Diesel",760,"15418.00","Owner_76","REG76","2025-11-04","2025-12-04",3,5,True,False,True,False
77,"Make_77","Model_77",2002,"Black","V5 Engine","Manual","Electric",770,"15423.50","Owner_77","REG77","2025-11-05","2025-12-05",4,6,False,False,False,False
78,"Make_78","Model_78",2003,"White","V6 Engine","Automatic","Petrol",780,"15429.00","Owner_78","REG78","2025-11-06","2025-12-06",2,4,True,True,False,False
79,"Make_79","Model_79",2004,"Silver","V7 Engine","Manual","Diesel",790,"15434.50","Owner_79","REG79","2025-11-07","2025-12-07",3,5,False,False,False,False
80,"Make_80","Model_80",2005,"Red","V0 Engine","Automatic","Electric",800,"15440.00","Owner_80","REG80","2025-11-08","2025-12-08",4,6,True,False,True,True
81,"Make_81","Model_81",2006,"Blue","V1 Engine","Manual","Petrol",810,"15445.50","Owner_81","REG81","2025-11-09","2025-12-09",2,4,False,True,False,False
82,"Make_82","Model_82",2007,"Black","V2 Engine","Automatic","Diesel",820,"15451.00","Owner_82","REG82","2025-11-10","2025-12-10",3,5,True,False,False,False
83,"Make_83","Model_83",2008,"White","V3 Engine","Manual","Electric",830,"15456.50","Owner_83","REG83","2025-11-11","2025-12-11",4,6,False,False,False,False
84,"Make_84","Model_84",2009,"Silver","V4 Engine","Automatic","Petrol",840,"15462.00","Owner_84","REG84","2025-11-12","2025-12-12",2,4,True,True,True,False
85,"Make_85","Model_85",2010,"Red","V5 Engine","Manual","Diesel",850,"15467.50","Owner_85","REG85","2025-11-13","2025-12-13",3,5,False,False,False,True
86,"Make_86","Model_86",2011,"Blue","V6 Engine","Automatic","Electric",860,"15473.00","Owner_86","REG86","2025-11-14","2025-12-14",4,6,True,False,False,False
87,"Make_87","Model_87",2012,"Black","V7 Engine","Manual","Petrol",870,"15478.50","Owner_87","REG87","2025-11-15","2025-12-15",2,4,False,True,False,False
88,"Make_88","Model_88",2013,"White","V0 Engine","Automatic","Diesel",880,"15484.00","Owner_88","REG88","2025-11-16","2025-12-16",3,5,True,False,True,False
89,"Make_89","Model_89",2014,"Silver","V1 Engine","Manual","Electric",890,"15489.50","Owner_89","REG89","2025-11-17","2025-12-17",4,6,False,False,False,False
90,"Make_90","Model_90",2015,"Red","V2 Engine","Automatic","Petrol",900,"15495.00","Owner_90","REG90","2025-11-18","2025-12-18",2,4,True,True,False,True
91,"Make_91","Model_91",2016,"Blue","V3 Engine","Manual","Diesel",910,"15500.50","Owner_91","REG91","2025-11-19","2025-12-19",3,5,False,False,False,False
92,"Make_92","Model_92",2017,"Black","V4 Engine","Automatic","Electric",920,"15506.00","Owner_92","REG92","2025-11-20","2025-12-20",4,6,True,False,True,False
93,"Make_93","Model_93",2018,"White","V5 Engine","Manual","Petrol",930,"15511.50","Owner_93","REG93","2025-11-21","2025-12-21",2,4,False,True,False,False
94,"Make_94","Model_94",2019,"Silver","V6 Engine","Automatic","Diesel",940,"15517.00","Owner_94","REG94","2025-11-22","2025-12-22",3,5,True,False,False,False
95,"Make_95","Model_95",2020,"Red","V7 Engine","Manual","Electric",950,"15522.50","Owner_95","REG95","2025-11-23","2025-12-23",4,6,False,False,False,True
96,"Make_96","Model_96",2021,"Blue","V0 Engine","Automatic","Petrol",960,"15528.00","Owner_96","REG96","2025-11-24","2025-12-24",2,4,True,True,True,False
97,"Make_97","Model_97",2022,"Black","V1 Engine","Manual","Diesel",970,"15533.50","Owner_97","REG97","2025-11-25","2025-12-25",3,5,False,False,False,False
98,"Make_98","Model_98",2023,"White","V2 Engine","Automatic","Electric",980,"15539.00","Owner_98","REG98","2025-11-26","2025-12-26",4,6,True,False,False,False
99,"Make_99","Model_99",2024,"Silver","V3 Engine","Manual","Petrol",990,"15544.50","Owner_99","REG99","2025-11-27","2025-12-27",2,4,False,True,False,False
100,"Make_100","Model_100",2000,"Red","V4 Engine","Automatic","Diesel",1000,"15550.00","Owner_100","REG100","2025-11-28","2025-12-28",3,5,True,False,True,True
101,"Make_101","Model_101",2001,"Blue","V5 Engine","Manual","Electric",1010,"15555.50","Owner_101","REG101","2025-11-29","2025-12-29",4,6,False,False,False,False
102,"Make_102","Model_102",2002,"Black","V6 Engine","Automatic","Petrol",1020,"15561.00","Owner_102","REG102","2025-11-30","2025-12-30",2,4,True,True,False,False
103,"Make_103","Model_103",2003,"White","V7 Engine","Manual","Diesel",1030,"15566.50","Owner_103","REG103","2025-12-01","2025-12-31",3,5,False,False,False,False
104,"Make_104","Model_104",2004,"Silver","V0 Engine","Automatic","Electric",1040,"15572.00","Owner_104","REG104","2025-12-02","2026-01-01",4,6,True,False,True,False
105,"Make_105","Model_105",2005,"Red","V1 Engine","Manual","Petrol",1050,"15577.50","Owner_105","REG105","2025-12-03","2026-01-02",2,4,False,True,False,True
106,"Make_106","Model_106",2006,"Blue","V2 Engine","Automatic","Diesel",1060,"15583.00","Owner_106","REG106","2025-12-04","2026-01-03",3,5,True,False,False,False
107,"Make_107","Model_107",2007,"Black","V3 Engine","Manual","Electric",1070,"15588.50","Owner_107","REG107","2025-12-05","2026-01-04",4,6,False,False,False,False
108,"Make_108","Model_108",2008,"White","V4 Engine","Automatic","Petrol",1080,"15594.00","Owner_108","REG108","2025-12-06","2026-01-05",2,4,True,True,True,False
109,"Make_109","Model_109",2009,"Silver","V5 Engine","Manual","Diesel",1090,"15599.50","Owner_109","REG109","2025-12-07","2026-01-06",3,5,False,False,False,False
110,"Make_110","Model_110",2010,"Red","V6 Engine","Automatic","Electric",1100,"15605.00","Owner_110","REG110","2025-12-08","2026-01-07",4,6,True,False,False,True
111,"Make_111","Model_111",2011,"Blue","V7 Engine","Manual","Petrol",1110,"15610.50","Owner_111","REG111","2025-12-09","2026-01-08",2,4,False,True,False,False
112,"Make_112","Model_112",2012,"Black","V0 Engine","Automatic","Diesel",1120,"15616.00","Owner_112","REG112","2025-12-10","2026-01-09",3,5,True,False,True,False
113,"Make_113","Model_113",2013,"White","V1 Engine","Manual","Electric",1130,"15621.50","Owner_113","REG113","2025-12-11","2026-01-10",4,6,False,False,False,False
114,"Make_114","Model_114",2014,"Silver","V2 Engine","Automatic","Petrol",1140,"15627.00","Owner_114","REG114","2025-12-12","2026-01-11",2,4,True,True,False,False
115,"Make_115","Model_115",2015,"Red","V3 Engine","Manual","Diesel",1150,"15632.50","Owner_115","REG115","2025-12-13","2026-01-12",3,5,False,False,False,True
116,"Make_116","Model_116",2016,"Blue","V4 Engine","Automatic","Electric",1160,"15638.00","Owner_116","REG116","2025-12-14","2026-01-13",4,6,True,False,True,False
117,"Make_117","Model_117",2017,"Black","V5 Engine","Manual","Petrol",1170,"15643.50","Owner_117","REG117","2025-12-15","2026-01-14",2,4,False,True,False,False
118,"Make_118","Model_118",2018,"White","V6 Engine","Automatic","Diesel",1180,"15649.00","Owner_118","REG118","2025-12-16","2026-01-15",3,5,True,False,False,False
119,"Make_119","Model_119",2019,"Silver","V7 Engine","Manual","Electric",1190,"15654.50","Owner_119","REG119","2025-12-17","2026-01-16",4,6,False,False,False,False
120,"Make_120","Model_120",2020,"Red","V0 Engine","Automatic","Petrol",1200,"15660.00","Owner_120","REG120","2025-12-18","2026-01-17",2,4,True,True,True,True
121,"Make_121","Model_121",2021,"Blue","V1 Engine","Manual","Diesel",1210,"15665.50","Owner_121","REG121","2025-12-19","2026-01-18",3,5,False,False,False,False
122,"Make_122","Model_122",2022,"Black","V2 Engine","Automatic","Electric",1220,"15671.00","Owner_122","REG122","2025-12-20","2026-01-19",4,6,True,False,False,False
123,"Make_123","Model_123",2023,"White","V3 Engine","Manual","Petrol",1230,"15676.50","Owner_123","REG123","2025-12-21","2026-01-20",2,4,False,True,False,False
124,"Make_124","Model_124",2024,"Silver","V4 Engine","Automatic","Diesel",1240,"15682.00","Owner_124","REG124","2025-12-22","2026-01-21",3,5,True,False,True,False
125,"Make_125","Model_125",2000,"Red","V5 Engine","Manual","Electric",1250,"15687.50","Owner_125","REG125","2025-12-23","2026-01-22",4,6,False,False,False,True
126,"Make_126","Model_126",2001,"Blue","V6 Engine","Automatic","Petrol",1260,"15693.00","Owner_126","REG126","2025-12-24","2026-01-23",2,4,True,True,False,False
127,"Make_127","Model_127",2002,"Black","V7 Engine","Manual","Diesel",1270,"15698.50","Owner_127","REG127","2025-12-25","2026-01-24",3,5,False,False,False,False
128,"Make_128","Model_128",2003,"White","V0 Engine","Automatic","Electric",1280,"15704.00","Owner_128","REG128","2025-12-26","2026-01-25",4,6,True,False,True,False
129,"Make_129","Model_129",2004,"Silver","V1 Engine","Manual","Petrol",1290,"15709.50","Owner_129","REG129","2025-12-27","2026-01-26",2,4,False,True,False,False
130,"Make_130","Model_130",2005,"Red","V2 Engine","Automatic","Diesel",1300,"15715.00","Owner_130","REG130","2025-12-28","2026-01-27",3,5,True,False,False,True
131,"Make_131","Model_131",2006,"Blue","V3 Engine","Manual","Electric",1310,"15720.50","Owner_131","REG131","2025-12-29","2026-01-28",4,6,False,False,False,False
132,"Make_132","Model_132",2007,"Black","V4 Engine","Automatic","Petrol",1320,"15726.00","Owner_132","REG132","2025-12-30","2026-01-29",2,4,True,True,True,False
133,"Make_133","Model_133",2008,"White","V5 Engine","Manual","Diesel",1330,"15731.50","Owner_133","REG133","2025-12-31","2026-01-30",3,5,False,False,False,False
134,"Make_134","Model_134",2009,"Silver","V6 Engine","Automatic","Electric",1340,"15737.00","Owner_134","REG134","2026-01-01","2026-01-31",4,6,True,False,False,False
135,"Make_135","Model_135",2010,"Red","V7 Engine","Manual","Petrol",1350,"15742.50","Owner_135","REG135","2026-01-02","2026-02-01",2,4,False,True,False,True
136,"Make_136","Model_136",2011,"Blue","V0 Engine","Automatic","Diesel",1360,"15748.00","Owner_136","REG136","2026-01-03","2026-02-02",3,5,True,False,True,False
137,"Make_137","Model_137",2012,"Black","V1 Engine","Manual","Electric",1370,"15753.50","Owner_137","REG137","2026-01-04","2026-02-03",4,6,False,False,False,False
138,"Make_138","Model_138",2013,"White","V2 Engine","Automatic","Petrol",1380,"15759.00","Owner_138","REG138","2026-01-05","2026-02-04",2,4,True,True,False,False
139,"Make_139","Model_139",2014,"Silver","V3 Engine","Manual","Diesel",1390,"15764.50","Owner_139","REG139","2026-01-06","2026-02-05",3,5,False,False,False,False
140,"Make_140","Model_140",2015,"Red","V4 Engine","Automatic","Electric",1400,"15770.00","Owner_140","REG140","2026-01-07","2026-02-06",4,6,True,False,True,True
141,"Make_141","Model_141",2016,"Blue","V5 Engine","Manual","Petrol",1410,"15775.50","Owner_141","REG141","2026-01-08","2026-02-07",2,4,False,True,False,False
142,"Make_142","Model_142",2017,"Black","V6 Engine","Automatic","Diesel",1420,"15781.00","Owner_142","REG142","2026-01-09","2026-02-08",3,5,True,False,False,False
143,"Make_143","Model_143",2018,"White","V7 Engine","Manual","Electric",1430,"15786.50","Owner_143","REG143","2026-01-10","2026-02-09",4,6,False,False,False,False
144,"Make_144","Model_144",2019,"Silver","V0 Engine","Automatic","Petrol",1440,"15792.00","Owner_144","REG144","2026-01-11","2026-02-10",2,4,True,True,True,False
145,"Make_145","Model_145",2020,"Red","V1 Engine","Manual","Diesel",1450,"15797.50","Owner_145","REG145","2026-01-12","2026-02-11",3,5,False,False,False,True
146,"Make_146","Model_146",2021,"Blue","V2 Engine","Automatic","Electric",1460,"15803.00","Owner_146","REG146","2026-01-13","2026-02-12",4,6,True,False,False,False
147,"Make_147","Model_147",2022,"Black","V3 Engine","Manual","Petrol",1470,"15808.50","Owner_147","REG147","2026-01-14","2026-02-13",2,4,False,True,False,False
148,"Make_148","Model_148",2023,"White","V4 Engine","Automatic","Diesel",1480,"15814.00","Owner_148","REG148","2026-01-15","2026-02-14",3,5,True,False,True,False
149,"Make_149","Model_149",2024,"Silver","V5 Engine","Manual","Electric",1490,"15819.50","Owner_149","REG149","2026-01-16","2026-02-15",4,6,False,False,False,False
150,"Make_150","Model_150",2000,"Red","V6 Engine","Automatic","Petrol",1500,"15825.00","Owner_150","REG150","2026-01-17","2026-02-16",2,4,True,True,False,True
151,"Make_151","Model_151",2001,"Blue","V7 Engine","Manual","Diesel",1510,"15830.50","Owner_151","REG151","2026-01-18","2026-02-17",3,5,False,False,False,False
152,"Make_152","Model_152",2002,"Black","V0 Engine","Automatic","Electric",1520,"15836.00","Owner_152","REG152","2026-01-19","2026-02-18",4,6,True,False,True,False
153,"Make_153","Model_153",2003,"White","V1 Engine","Manual","Petrol",1530,"15841.50","Owner_153","REG153","2026-01-20","2026-02-19",2,4,False,True,False,False
154,"Make_154","Model_154",2004,"Silver","V2 Engine","Automatic","Diesel",1540,"15847.00","Owner_154","REG154","2026-01-21","2026-02-20",3,5,True,False,False,False
155,"Make_155","Model_155",2005,"Red","V3 Engine","Manual","Electric",1550,"15852.50","Owner_155","REG155","2026-01-22","2026-02-21",4,6,False,False,False,True
156,"Make_156","Model_156",2006,"Blue","V4 Engine","Automatic","Petrol",1560,"15858.00","Owner_156","REG156","2026-01-23","2026-02-22",2,4,True,True,True,False
157,"Make_157","Model_157",2007,"Black","V5 Engine","Manual","Diesel",1570,"15863.50","Owner_157","REG157","2026-01-24","2026-02-23",3,5,False,False,False,False
158,"Make_158","Model_158",2008,"White","V6 Engine","Automatic","Electric",1580,"15869.00","Owner_158","REG158","2026-01-25","2026-02-24",4,6,True,False,False,False
159,"Make_159","Model_159",2009,"Silver","V7 Engine","Manual","Petrol",1590,"15874.50","Owner_159","REG159","2026-01-26","2026-02-25",2,4,False,True,False,False
160,"Make_160","Model_160",2010,"Red","V0 Engine","Automatic","Diesel",1600,"15880.00","Owner_160","REG160","2026-01-27","2026-02-26",3,5,True,False,True,True
161,"Make_161","Model_161",2011,"Blue","V1 Engine","Manual","Electric",1610,"15885.50","Owner_161","REG161","2026-01-28","2026-02-27",4,6,False,False,False,False
162,"Make_162","Model_162",2012,"Black","V2 Engine","Automatic","Petrol",1620,"15891.00","Owner_162","REG162","2026-01-29","2026-02-28",2,4,True,True,False,False
163,"Make_163","Model_163",2013,"White","V3 Engine","Manual","Diesel",1630,"15896.50","Owner_163","REG163","2026-01-30","2026-03-01",3,5,False,False,False,False
164,"Make_164","Model_164",2014,"Silver","V4 Engine","Automatic","Electric",1640,"15902.00","Owner_164","REG164","2026-01-31","2026-03-02",4,6,True,False,True,False
165,"Make_165","Model_165",2015,"Red","V5 Engine","Manual","Petrol",1650,"15907.50","Owner_165","REG165","2026-02-01","2026-03-03",2,4,False,True,False,True
166,"Make_166","Model_166",2016,"Blue","V6 Engine","Automatic","Diesel",1660,"15913.00","Owner_166","REG166","2026-02-02","2026-03-04",3,5,True,False,False,False
167,"Make_167","Model_167",2017,"Black","V7 Engine","Manual","Electric",1670,"15918.50","Owner_167","REG167","2026-02-03","2026-03-05",4,6,False,False,False,False
168,"Make_168","Model_168",2018,"White","V0 Engine","Automatic","Petrol",1680,"15924.00","Owner_168","REG168","2026-02-04","2026-03-06",2,4,True,True,True,False
169,"Make_169","Model_169",2019,"Silver","V1 Engine","Manual","Diesel",1690,"15929.50","Owner_169","REG169","2026-02-05","2026-03-07",3,5,False,False,False,False
170,"Make_170","Model_170",2020,"Red","V2 Engine","Automatic","Electric",1700,"15935.00","Owner_170","REG170","2026-02-06","2026-03-08",4,6,True,False,False,True
